Bank,Requirement,Status,Score,Evidence
DBS,Environmental Risk Governance,Fully Aligned,5,MAS ERM integration
DBS,Climate Risk Management,Fully Aligned,5,TCFD and climate scenario analysis
DBS,Sustainable Finance,Fully Aligned,5,Responsible Financing Framework
DBS,Disclosure Requirements,Fully Aligned,5,Detailed sustainability reporting
DBS,Board ESG Oversight,Fully Aligned,5,Board-level governance
Emirates NBD,Environmental Risk Governance,Fully Aligned,4,UAE sustainability framework
Emirates NBD,Climate Risk Management,Partially Aligned,3,Climate strategy evolving
Emirates NBD,Sustainable Finance,Fully Aligned,4,Sustainable Finance Framework
Emirates NBD,Disclosure Requirements,Fully Aligned,4,ESG reporting expanded
Emirates NBD,Board ESG Oversight,Fully Aligned,4,ESG governance structure
